City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
192,Brownsburg,0,US,1655374773,75,39.8434,-86.3978,300.23,5.66
193,Vladimirskaya,5,RU,1655374774,51,44.5455,40.7933,296.49,5.71
194,Ferma,0,RU,1655374774,65,57.9016,56.3064,298.22,3.0
195,Swansea,100,GB,1655374774,65,51.6208,-3.9432,294.59,0.76
196,Troitskaya,25,RU,1655374774,57,43.3056,44.9789,299.17,2.5
197,Stulovo,99,RU,1655374775,50,58.7225,50.1439,295.6,4.24
198,Khagaul,75,IN,1655374775,52,25.5833,85.05,309.12,4.63
199,Gandevi,80,IN,1655374775,54,20.8167,72.9833,306.09,6.96
200,Farafenni,83,GM,1655374776,53,13.5667,-15.6,303.01,5.08
201,Linguère,66,SN,1655374776,44,15.3953,-15.1193,302.9,6.37
202,Cacoal,14,BR,1655374776,87,-11.4386,-61.4472,294.17,1.36
203,Szendrő,23,HU,1655374776,42,48.4,20.7333,301.67,1.12
204,Cadereyta,9,MX,1655374777,77,25.5833,-99.9833,298.8,4.26
205,Wollerau,27,CH,1655374777,63,47.1948,8.719,301.22,3.58
206,Mangotsfield,100,GB,1655374777,61,51.4878,-2.504,295.56,1.54
207,Maholi,33,IN,1655374777,17,27.6667,80.4667,316.63,3.28
208,Guapimirim,0,BR,1655374778,84,-22.5372,-42.9819,289.97,1.66
209,Serang,96,ID,1655374668,80,-6.1149,106.1502,300.63,2.23
210,Jaqué,100,PA,1655374779,88,7.5175,-78.1703,298.1,2.08
211,Körmend,67,HU,1655374779,48,47.011,16.606,299.44,3.95
212,Tsubame,100,JP,1655374729,83,37.65,138.9333,296.09,1.29
213,Cedar Hill,0,US,1655374780,71,32.5885,-96.9561,300.84,4.63
214,Yelahanka,40,IN,1655374555,66,13.1075,77.6003,303.42,4.12
215,El Cocuy,98,CO,1655374780,89,6.4078,-72.4446,281.76,2.22
216,Cordeiro,0,BR,1655374780,92,-22.0286,-42.3608,284.27,1.24
217,Port Hope,98,US,1655374780,23,43.9408,-82.7127,295.19,3.6
218,Agrij,64,RO,1655374781,44,47.0667,23.1333,296.36,1.5
219,Pimienta,100,HN,1655374781,98,15.2772,-87.9745,296.75,0.96
220,Slough,0,GB,1655374781,45,51.5095,-0.5954,299.22,3.09
221,Altayskoye,58,RU,1655374781,67,51.9533,85.3325,293.5,4.69
222,Durgapur,40,IN,1655374782,66,23.4833,87.3167,305.31,4.63
223,Castro Marim,66,PT,1655374782,38,37.2207,-7.4435,299.98,1.06
224,Xiaoweizhai,100,CN,1655374782,98,26.1903,107.5125,292.38,1.25
225,Buzescu,8,RO,1655374783,40,44.0167,25.2333,299.47,2.29
226,Weinheim,0,DE,1655374783,42,49.5483,8.6661,301.64,4.63
227,Weyler,92,PH,1655374783,86,12.1936,124.4039,300.07,3.25
228,Pudoc West,100,PH,1655374783,81,16.9215,120.4235,301.85,1.58
229,Lieşti,4,RO,1655374783,35,45.6167,27.5167,298.69,1.88
230,Eydhafushi,97,MV,1655374784,74,5.1033,73.0708,301.42,6.77
231,Kremnica,12,SK,1655374784,41,48.7052,18.9183,298.15,0.89
232,Easley,0,US,1655374784,91,34.8298,-82.6015,298.94,0.0
233,Villa Luvianos,100,MX,1655374784,91,18.9167,-100.4,289.8,0.83
234,Salsomaggiore Terme,43,IT,1655374784,62,44.8148,9.9796,302.91,1.16
235,Shirwal,70,IN,1655374785,48,18.1333,73.9833,303.79,6.73
236,Fadd,24,HU,1655374785,41,46.4648,18.8193,298.7,2.59
237,Toyohashi,100,JP,1655374785,29,34.7667,137.3833,296.45,2.24
238,Mabini,80,PH,1655374785,68,15.6,120.9833,302.9,3.26
239,Borgentreich,14,DE,1655374786,49,51.5692,9.2411,294.77,4.26
240,Kencong,93,ID,1655374786,85,-8.2833,113.3667,299.9,0.59
241,Macklin,99,CA,1655374786,87,52.3334,-109.9348,285.34,6.98
242,Bancal,54,PH,1655374786,66,11.5591,123.1551,302.8,1.74
243,Minbu,100,MM,1655374786,58,20.1833,94.8833,302.98,5.07
244,Mexicaltzingo,100,MX,1655374787,82,19.2097,-99.5889,285.73,4.12
245,Bariri,0,BR,1655374787,69,-22.0744,-48.7403,289.29,1.67
246,Tibasosa,64,CO,1655374787,92,5.75,-73.0,281.1,0.81
247,Tapejara,0,BR,1655374664,93,-28.0681,-52.0139,282.14,1.37
248,Sabang,100,ID,1655374787,70,5.8933,95.3214,301.22,1.44
249,Estaimpuis,0,BE,1655374788,43,50.6905,3.2872,298.34,3.6
250,Kitob,8,UZ,1655374788,12,39.0843,66.8332,309.85,5.95
251,Union,100,US,1655374788,80,40.6334,-74.2663,293.66,2.06
252,Itajobi,0,BR,1655374789,60,-21.3181,-49.0544,287.88,2.89
253,Evans,0,US,1655374789,78,33.5337,-82.1307,299.28,2.06
254,Gemeente Brunssum,12,NL,1655374789,48,50.9333,5.95,295.85,3.6
255,Łomianki,0,PL,1655374790,45,52.3341,20.886,296.09,2.06
256,Verkhnyaya Pyshma,90,RU,1655374790,62,56.9667,60.5808,294.84,1.96
257,Acamixtla,100,MX,1655374790,89,18.5667,-99.5833,287.91,0.49
258,Rosbach,10,DE,1655374790,37,50.8,7.6167,297.51,3.91
259,Molteno,29,ZA,1655374791,40,-31.3968,26.3625,278.1,1.35
260,Qui Nhon,86,VN,1655374625,77,13.7667,109.2333,302.47,5.8
261,Altamura,0,IT,1655374791,27,40.8292,16.5537,302.37,1.79
262,Prado,80,BR,1655374736,85,-17.3411,-39.2208,292.08,2.04
263,Ermont,0,FR,1655374791,39,48.99,2.258,300.88,2.57
264,Risør,8,NO,1655374792,72,58.7206,9.2342,288.86,4.46
265,Sun Valley,0,US,1655374792,33,39.5963,-119.776,291.47,2.06
266,Atyrá,78,PY,1655374792,86,-25.25,-57.1667,293.98,2.16
267,Mosquera,40,CO,1655374793,93,4.7059,-74.2302,283.2,1.03
268,Mutěnice,75,CZ,1655374793,54,48.9041,17.0292,301.36,5.04
269,Deskáti,47,GR,1655374793,57,39.9225,21.8028,296.57,1.63
270,Redford,100,US,1655374793,81,42.3834,-83.2966,300.3,5.14
271,Unhos,20,PT,1655374794,73,38.8259,-9.1223,296.12,3.09
272,Palmito,100,CO,1655374794,93,9.3333,-75.55,296.67,0.55
273,Dezful,0,IR,1655374794,4,32.3811,48.4058,317.63,3.03
274,Horodok,15,UA,1655374794,48,49.1637,26.5839,293.77,1.59
275,Tiszaföldvár,0,HU,1655374795,26,46.9833,20.25,303.14,4.12
276,San Vicente,5,AR,1655374795,94,-26.6167,-54.1333,284.44,1.13
277,Garcia Hernandez,68,PH,1655374796,77,9.6144,124.2946,301.79,3.67
278,Yurgamysh,16,RU,1655374796,45,55.3714,64.4656,297.44,5.0
279,Xinxiang,3,CN,1655374796,10,35.3089,113.8672,315.32,4.1
280,Texíguat,100,HN,1655374797,94,13.6497,-87.0225,293.25,1.86
281,Quiruvilca,1,PE,1655374797,82,-7.9667,-78.2,272.1,1.37
282,Badak,97,PH,1655374797,86,6.8472,124.7206,298.96,1.97
283,Lake Lucerne,0,US,1655374798,84,25.9651,-80.2414,301.49,2.57
284,Sooko,94,ID,1655374798,90,-7.9097,111.6599,297.47,1.02
285,Iza,84,UA,1655374798,42,48.2152,23.3287,296.41,1.71
286,Vöhringen,68,DE,1655374798,49,48.2784,10.0824,300.7,4.12
287,Barro,98,BR,1655374799,92,-6.7167,-38.8667,293.53,2.35
288,Sobolivka,11,UA,1655374799,45,49.336,28.651,293.81,1.91
289,Sarasota Springs,71,US,1655374799,90,27.3089,-82.4795,298.76,0.45
290,Thoubāl,100,IN,1655374800,94,24.6333,94.0167,295.16,1.04
291,Chany,80,RU,1655374800,63,55.3121,76.7647,292.25,6.1
292,Spartanburg,0,US,1655374801,83,34.9496,-81.9321,299.43,1.54
293,Bistra,86,RO,1655374802,36,46.3833,23.1,296.37,1.67
294,Herdecke,0,DE,1655374803,46,51.4,7.4333,297.02,2.57
295,Panzós,100,GT,1655374803,98,15.4,-89.6667,294.36,0.88
296,Kishanganj,100,IN,1655374803,66,26.1167,87.9333,304.84,3.01
297,Glogova,77,RO,1655374804,41,44.9281,22.9067,298.3,2.17
298,Săgeata,9,RO,1655374804,35,45.1,26.9833,299.31,1.43
299,Valuyki,93,RU,1655374804,52,50.2035,38.1067,294.37,3.74
300,Campiglia Marittima,0,IT,1655374805,60,43.0602,10.6152,300.29,2.63
301,Newport News,100,US,1655374694,73,36.9788,-76.428,296.47,3.09
302,Karancskeszi,8,HU,1655374806,43,48.1635,19.6969,300.41,2.62
303,Ripollet,0,ES,1655374806,37,41.4969,2.1574,311.22,2.06
304,Namioka,75,JP,1655374807,77,40.7072,140.5894,293.27,5.66
305,Plast,10,RU,1655374807,47,54.3691,60.8136,298.2,2.49
306,Ágios Athanásios,3,GR,1655374807,66,41.0667,24.25,298.6,2.07
307,Bhindār,86,IN,1655374807,42,24.5,74.1833,306.87,6.19
308,North Myrtle Beach,20,US,1655374808,81,33.816,-78.68,299.29,1.54
309,Caravelas,86,BR,1655374808,77,-17.7125,-39.2481,293.19,0.68
310,Hryshkivtsi,24,UA,1655374808,54,49.9353,28.6038,292.8,2.58
311,Panino,99,RU,1655374809,58,51.6467,40.1346,293.19,3.49
312,Gámeza,75,CO,1655374809,95,5.8026,-72.8059,279.5,0.81
313,Silleda,86,ES,1655374809,61,42.696,-8.2465,292.34,2.06
314,Paullo,0,IT,1655374809,48,45.4187,9.3977,305.59,1.54
315,El Porvenir,100,HN,1655374811,92,13.7617,-87.3458,293.78,1.56
316,Tibirita,80,CO,1655374812,96,5.0533,-73.5037,284.08,1.12
317,Nyzhnya Duvanka,60,UA,1655374812,50,49.5846,38.1743,294.46,4.18
318,Chernigovka,93,RU,1655374813,79,44.3389,132.5728,291.41,3.18
319,Aasiaat,99,GL,1655374813,79,68.7098,-52.8699,274.92,2.83
320,Barajevo,65,RS,1655374814,39,44.5789,20.4158,301.6,2.3
321,Pully,55,CH,1655374814,57,46.5103,6.6618,304.64,0.88
322,Karloca,35,RS,1655374814,29,45.2025,19.9344,301.98,2.31
323,Moelv,100,NO,1655374815,81,60.9333,10.7,287.33,1.07
324,Havixbeck,26,DE,1655374815,48,51.9833,7.4167,296.96,3.6
325,Anáhuac,13,MX,1655374815,73,27.2333,-100.15,298.16,9.4
326,New York,100,US,1655374296,75,40.7143,-74.006,293.69,4.12
327,Bobbili,100,IN,1655374816,43,18.5667,83.3667,308.91,4.69
328,Uhingen,65,DE,1655374816,54,48.7048,9.5857,302.07,0.45
329,Spring Valley,0,US,1655374816,15,36.108,-115.245,299.83,5.14
330,Moriguchi,75,JP,1655374746,64,34.7333,135.5667,299.18,3.6
331,Narowal,1,PK,1655374817,15,32.1,74.8833,312.09,3.14
332,Alim,84,PH,1655374817,74,9.5649,122.4876,302.06,0.38
333,Arrondissement du Havre,72,FR,1655374817,60,49.5833,0.3333,298.9,2.57
334,The Village,0,US,1655374818,70,35.5609,-97.5514,300.25,6.17
335,Chichihualco,100,MX,1655374818,95,17.6833,-99.65,291.16,1.14
336,Buje,0,HR,1655374818,59,45.41,13.6619,301.0,2.57
337,Juodupė,87,LT,1655374819,58,56.0833,25.6167,291.36,4.07
338,Sulucan,78,PH,1655374819,70,14.8,120.9333,304.36,2.74
339,Mayskiy,25,RU,1655374819,42,47.6931,40.1025,296.82,6.07
340,Sītāmarhi,82,IN,1655374765,35,26.6,85.4833,311.15,1.13
341,Spencer,0,US,1655374820,73,43.1414,-95.1444,292.21,4.63
342,Azacualpa,100,HN,1655374820,99,15.3433,-88.5514,295.51,0.61
343,Takhtamygda,62,RU,1655374820,29,54.1,123.5667,297.74,3.05
344,Dorolţ,0,RO,1655374820,30,47.85,22.8167,300.39,2.57
345,Forest Lake,60,US,1655374821,62,45.2789,-92.9852,293.35,1.79
346,Bulzeşti,61,RO,1655374821,37,44.5333,23.8833,301.25,2.32
347,Kuningan,85,ID,1655374540,90,-6.9758,108.4831,296.15,1.07
348,Commerce City,0,US,1655374821,43,39.8083,-104.9339,291.67,4.63
349,Owak,78,PH,1655374821,76,10.55,123.7,303.2,1.77
350,Strijen,11,NL,1655374822,45,51.7452,4.5508,297.57,0.89
351,Beith,100,GB,1655374822,80,55.7492,-4.6368,292.43,1.54
352,Naas,75,IE,1655374822,62,53.2158,-6.6669,293.94,4.12
353,Unión de San Antonio,99,MX,1655374822,70,21.1,-101.9667,288.93,2.62
354,Dulceşti,8,RO,1655374823,41,46.9667,26.7667,296.83,0.81
355,Montesson,0,FR,1655374824,40,48.9092,2.1375,300.98,3.09
